File,RMS_Mean,RMS_Std,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
weld_1097.wav,0.002095711,0.0013915943,-585.0028,195.62627,-114.47942,50.321503,24.548687,-34.01943,37.665375,-8.112063,-7.627731,24.10965,-17.199081,5.2684,10.141682
weld_1098.wav,0.0020974996,0.0013682988,-583.0842,204.22209,-117.75028,50.830696,24.81524,-34.84084,38.772903,-8.299671,-7.52317,24.6052,-18.35161,4.7334323,9.729963
weld_1099.wav,0.0018725046,0.001199714,-586.78174,194.16031,-109.42344,45.676277,24.57839,-33.03244,33.572968,-8.199884,-8.553457,21.618011,-16.807386,3.8845513,9.626465
weld_11.wav,0.0019661319,0.0014170832,-622.5567,201.53616,-123.920395,49.817123,13.066142,-37.131454,41.77788,-17.89044,-6.572043,29.686867,-23.465868,6.5121946,10.363255
weld_110.wav,0.0022589015,0.0025885573,-625.9822,145.41107,-86.3595,39.088234,16.86458,-25.40227,30.820133,-6.124239,-3.9858341,21.45423,-12.856178,5.1317105,9.664626
weld_1100.wav,0.0019499708,0.0011762597,-591.56287,210.82245,-121.02815,49.81205,24.3216,-37.43504,36.802647,-10.592895,-10.096378,23.164125,-19.418543,4.0192003,9.382291
weld_1101.wav,0.001937572,0.0012005956,-591.7087,207.24449,-119.007286,52.409912,25.487251,-36.63826,37.301342,-9.981345,-8.951329,23.903023,-19.208677,4.1873116,9.14387
weld_1102.wav,0.0019318564,0.0012185815,-579.1687,194.66592,-108.77538,45.787495,23.69525,-34.48112,32.4013,-8.884954,-9.1442995,21.009884,-17.121626,3.7282825,9.115402
weld_1103.wav,0.0019649605,0.0012778497,-586.4222,197.56862,-116.20343,48.591927,25.170444,-34.699203,35.832523,-8.826141,-8.622321,23.265146,-17.730871,4.034456,9.888956
weld_1104.wav,0.0020814552,0.0013608084,-594.0283,206.76924,-119.52647,55.01352,26.880508,-35.88404,38.813156,-9.48187,-8.081653,25.05429,-18.800398,5.233151,10.278473
weld_1105.wav,0.0020291004,0.0013101186,-588.7448,201.24927,-116.492195,50.350487,26.311926,-35.813995,36.01002,-7.6444187,-8.15963,23.825499,-17.094044,4.170013,9.98707
weld_1106.wav,0.0019607777,0.0011709488,-597.5442,212.85925,-123.82788,52.185955,26.047247,-37.133472,38.3635,-9.910239,-8.598769,25.129002,-18.677597,5.0459914,9.943355
weld_1107.wav,0.002383056,0.0015252662,-570.5699,203.18748,-125.21504,51.08295,25.579355,-36.1111,39.026432,-9.651084,-8.54502,25.031824,-19.201138,4.829676,10.785071
weld_1108.wav,0.002190683,0.0014275125,-587.0952,201.1143,-123.57696,54.562263,25.925615,-36.927647,39.80974,-9.333414,-8.297785,26.375105,-18.47633,4.792468,10.713084
weld_1109.wav,0.0020353314,0.0013280823,-588.6791,202.29015,-120.106865,50.05799,25.934658,-35.635883,37.02556,-9.089636,-8.777497,24.463291,-17.268078,5.1121626,10.567676
weld_111.wav,0.0025155332,0.0027329864,-607.8854,138.74495,-81.69223,41.131954,19.174654,-21.694363,32.615322,-4.4933004,-3.3188488,21.735884,-11.006775,6.61629,10.754487
weld_1110.wav,0.002273429,0.0015074089,-577.82184,199.30592,-112.834305,51.231064,24.567926,-33.097763,38.548847,-8.850957,-8.166356,23.42923,-18.496805,4.8195624,9.820334
weld_1111.wav,0.002084401,0.0013182724,-579.63513,202.7112,-112.56169,45.42801,23.297857,-32.603542,34.680523,-9.433596,-6.0596004,22.98244,-17.160107,6.6786284,9.048951
weld_1112.wav,0.0019192367,0.0013610696,-592.18243,198.93265,-107.056,46.832935,25.232134,-31.158903,34.38021,-7.784097,-6.068202,22.697647,-16.073284,5.801009,9.238398
weld_1113.wav,0.0016095006,0.001152091,-613.21515,201.76218,-113.261116,48.817165,24.31115,-32.464203,35.99873,-9.492236,-5.4284496,23.61865,-17.737823,7.2093244,9.273267
weld_1114.wav,0.0016812609,0.001212632,-602.1619,197.94966,-103.91992,42.12808,24.391457,-28.806662,32.132736,-7.621697,-4.3327007,21.617945,-15.434458,7.1972837,9.189089
weld_1115.wav,0.0019337528,0.0010746774,-582.13654,206.08055,-104.554276,47.39176,24.948263,-31.518238,34.10836,-7.91546,-6.065117,21.763792,-17.542215,4.5644226,7.568429
weld_1116.wav,0.0024270907,0.0016860645,-569.6668,194.41489,-114.88455,43.921,23.18241,-35.62454,33.172558,-7.895462,-7.573211,24.23252,-15.229682,3.662722,9.1870165
weld_1117.wav,0.0022420755,0.0016845672,-574.29865,177.98007,-102.78698,43.15895,23.857094,-30.954054,30.289902,-7.5189104,-6.086597,22.582138,-14.164878,4.581536,10.574554
weld_1118.wav,0.002066235,0.0015541594,-601.2623,201.44087,-111.18236,49.496487,25.070679,-34.417072,35.933067,-7.7761664,-7.618883,24.57424,-15.826051,4.695256,10.835939
weld_1119.wav,0.002259626,0.0016357224,-585.62244,195.46838,-108.4004,47.956947,24.98385,-32.698837,34.118645,-8.163495,-5.8362784,24.40437,-16.28189,5.2606096,10.408686
weld_112.wav,0.002368276,0.002717926,-626.1437,152.41039,-91.29419,43.042767,18.575489,-26.062366,33.986343,-6.007366,-3.5510879,23.78546,-12.858384,6.534227,11.289715
weld_1120.wav,0.0022837569,0.0014988212,-567.91504,192.91502,-109.96602,44.453674,23.704924,-34.120033,32.90664,-7.094765,-6.1320353,24.39429,-15.870869,3.6083088,10.425298
weld_1121.wav,0.0022578263,0.0017512086,-572.6239,189.60832,-110.58208,46.229618,22.951738,-34.52029,33.949276,-7.9616275,-6.7241216,24.87425,-15.758369,4.3803406,11.045941
weld_1122.wav,0.0024413432,0.0018219657,-544.04694,165.43433,-83.67514,37.858753,22.18838,-26.33377,26.18667,-5.441552,-5.5559273,19.660282,-12.416886,2.4361463,8.94634
weld_1123.wav,0.0023965721,0.0017996402,-560.17316,183.20224,-97.16121,42.878605,23.079369,-31.012955,30.789104,-5.944397,-6.796859,21.758688,-14.000217,2.8479156,9.448303
weld_1124.wav,0.002135119,0.0015284229,-570.27716,179.78575,-98.27598,41.31808,18.222137,-31.646593,30.952034,-8.933521,-5.7367015,22.295788,-16.584984,3.794299,9.753725
weld_1125.wav,0.0022248814,0.0016394464,-580.73425,196.34103,-109.191956,49.000744,23.789024,-33.44173,35.92804,-8.797228,-7.043222,24.51441,-18.084877,4.210201,11.246314
weld_1126.wav,0.0023706316,0.0018326967,-571.1974,191.87195,-104.16198,47.537853,23.822136,-32.733593,32.93971,-9.28772,-7.338586,23.186178,-17.676233,3.494311,10.342829
